dimension,points,threads,type,rep,time_ms
2,400000,1,parallel,6,376.075
2,400000,1,parallel,7,371.199
2,400000,1,parallel,8,373.332
2,400000,1,parallel,9,377.182
2,400000,1,parallel,10,409.269
2,400000,2,parallel,1,309.384
2,400000,2,parallel,2,336.501
2,400000,2,parallel,3,335.223
2,400000,2,parallel,4,315.257
2,400000,2,parallel,5,299.947
2,400000,2,parallel,6,319.45
2,400000,2,parallel,7,314.622
2,400000,2,parallel,8,322.661
2,400000,2,parallel,9,290.82
2,400000,2,parallel,10,315.016
2,400000,4,parallel,1,293.377
2,400000,4,parallel,2,301.854
2,400000,4,parallel,3,301.714
2,400000,4,parallel,4,288.304
2,400000,4,parallel,5,298.416
2,400000,4,parallel,6,289.455
2,400000,4,parallel,7,303.469
2,400000,4,parallel,8,289.031
2,400000,4,parallel,9,291.559
2,400000,4,parallel,10,302.056
2,400000,8,parallel,1,267.595
2,400000,8,parallel,2,266.252
2,400000,8,parallel,3,273.167
2,400000,8,parallel,4,262.064
2,400000,8,parallel,5,312.835
2,400000,8,parallel,6,273.178
2,400000,8,parallel,7,265.464
2,400000,8,parallel,8,258.962
2,400000,8,parallel,9,269.83
2,400000,8,parallel,10,267.946
2,600000,1,serial,1,376.83
2,600000,1,serial,2,372.276
2,600000,1,serial,3,358.462
2,600000,1,serial,4,364.998
2,600000,1,serial,5,375.76
2,600000,1,serial,6,360.856
2,600000,1,serial,7,367.43
2,600000,1,serial,8,373.288
2,600000,1,serial,9,379.425
2,600000,1,serial,10,363.964
2,600000,1,parallel,1,357.079
2,600000,1,parallel,2,351.882
2,600000,1,parallel,3,376.34
2,600000,1,parallel,4,349.466
2,600000,1,parallel,5,349.453
2,600000,1,parallel,6,357.384
2,600000,1,parallel,7,390.749
2,600000,1,parallel,8,343.614
2,600000,1,parallel,9,356.643
2,600000,1,parallel,10,363.626
2,600000,2,parallel,1,279.833
2,600000,2,parallel,2,277.418
2,600000,2,parallel,3,280.976
2,600000,2,parallel,4,266.549
2,600000,2,parallel,5,292.577
2,600000,2,parallel,6,286.175
2,600000,2,parallel,7,270.396
2,600000,2,parallel,8,274.035
2,600000,2,parallel,9,288.584
2,600000,2,parallel,10,324.311
2,600000,4,parallel,1,265.033
2,600000,4,parallel,2,269.403
2,600000,4,parallel,3,266.388
2,600000,4,parallel,4,261.691
2,600000,4,parallel,5,262.487
2,600000,4,parallel,6,271.601
2,600000,4,parallel,7,264.559
2,600000,4,parallel,8,259.556
2,600000,4,parallel,9,282.741
2,600000,4,parallel,10,261.741
2,600000,8,parallel,1,273.449
2,600000,8,parallel,2,243.006
2,600000,8,parallel,3,234.382
2,600000,8,parallel,4,235.971
2,600000,8,parallel,5,241.835
2,600000,8,parallel,6,252.04
2,600000,8,parallel,7,227.362
2,600000,8,parallel,8,232.311
2,600000,8,parallel,9,255.319
2,600000,8,parallel,10,250.649
2,800000,1,serial,1,5317.69
2,800000,1,serial,2,5294.33
2,800000,1,serial,3,5522.88
2,800000,1,serial,4,5574.02
2,800000,1,serial,5,5301.01
2,800000,1,serial,6,5466.79
2,800000,1,serial,7,5504.8
2,800000,1,serial,8,5521.68
2,800000,1,serial,9,5336.79
2,800000,1,serial,10,5367.89
2,800000,1,parallel,1,5216.35
2,800000,1,parallel,2,5170.3
2,800000,1,parallel,3,5179.56
2,800000,1,parallel,4,5188.16
2,800000,1,parallel,5,5151.05
2,800000,1,parallel,6,5570.46
2,800000,1,parallel,7,6179.2
2,800000,1,parallel,8,6013.11
2,800000,1,parallel,9,5434.8
2,800000,1,parallel,10,5215.3
2,800000,2,parallel,1,3839.54
2,800000,2,parallel,2,3945.84
2,800000,2,parallel,3,4287.01
2,800000,2,parallel,4,4300.88
2,800000,2,parallel,5,4107.97
2,800000,2,parallel,6,4344.62
2,800000,2,parallel,7,4546.76
2,800000,2,parallel,8,4221.29
2,800000,2,parallel,9,4015.46
2,800000,2,parallel,10,4577.06
2,800000,4,parallel,1,5242.9
2,800000,4,parallel,2,4149.15
2,800000,4,parallel,3,4563.84
2,800000,4,parallel,4,5360.67
2,800000,4,parallel,5,4883.99
2,800000,4,parallel,6,6336.07
2,800000,4,parallel,7,4077.18
2,800000,4,parallel,8,4145.69
2,800000,4,parallel,9,3956.05
2,800000,4,parallel,10,4163.94
2,800000,8,parallel,1,4050.33
2,800000,8,parallel,2,3728.63
2,800000,8,parallel,3,3704.07
2,800000,8,parallel,4,3721.74
2,800000,8,parallel,5,3616.28
2,800000,8,parallel,6,3626.38
2,800000,8,parallel,7,4075.18
2,800000,8,parallel,8,3660.14
2,800000,8,parallel,9,3697.69
2,800000,8,parallel,10,3657.03
2,1000000,1,serial,1,1393.54
2,1000000,1,serial,2,1400.19
2,1000000,1,serial,3,1393.54
2,1000000,1,serial,4,1366.02
2,1000000,1,serial,5,1717.2
2,1000000,1,serial,6,1352.31
2,1000000,1,serial,7,1369.61
2,1000000,1,serial,8,1412.25
2,1000000,1,serial,9,1449.14
2,1000000,1,serial,10,1419.1
2,1000000,1,parallel,1,1318.17
2,1000000,1,parallel,2,1349.15
2,1000000,1,parallel,3,1317.03
2,1000000,1,parallel,4,1346.91
2,1000000,1,parallel,5,1344.09
2,1000000,1,parallel,6,1312.11
2,1000000,1,parallel,7,1303.5
2,1000000,1,parallel,8,1276.02
2,1000000,1,parallel,9,1307.2
2,1000000,1,parallel,10,1359.28
2,1000000,2,parallel,1,1079.05
2,1000000,2,parallel,2,1039.21
2,1000000,2,parallel,3,1078.91
2,1000000,2,parallel,4,1034.97
2,1000000,2,parallel,5,1143.65
2,1000000,2,parallel,6,1040.85
2,1000000,2,parallel,7,1061.28
2,1000000,2,parallel,8,1233.46
2,1000000,2,parallel,9,1098.39
2,1000000,2,parallel,10,982.388
2,1000000,4,parallel,1,944.592
2,1000000,4,parallel,2,941.028
2,1000000,4,parallel,3,993.392
2,1000000,4,parallel,4,1023.91
2,1000000,4,parallel,5,1021.1
